Channel_number:	CH3
Foil_name:	GE21-FOIL-M3-G12-KR-B02-0017
Production-delivery_date:	
User_name:	
Time_stamp:	20220217_21-33
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.892000
0.000000	0.000000	2.462000
0.000000	0.000000	3.033000
0.000000	0.002000	3.606000
0.000000	0.002000	4.176000
0.000000	0.002000	4.750000
18.400000	1.974000	5.320000
18.400000	1.974000	5.891000
36.500000	2.047000	6.460000
36.500000	2.047000	7.031000
36.500000	2.047000	7.605000
36.500000	1.843000	8.175000
51.600000	1.843000	8.746000
51.600000	1.843000	9.314000
51.600000	1.843000	9.885000
66.900000	1.809000	10.459000
66.900000	1.809000	11.037000
82.100000	1.803000	11.610000
82.100000	1.803000	12.190000
96.300000	1.685000	12.958000
96.300000	1.685000	13.528000
96.300000	1.685000	14.105000
99.900000	0.544000	14.678000
99.900000	0.544000	15.248000
99.900000	0.108000	15.821000
99.900000	0.108000	16.391000
99.900000	0.108000	16.972000
99.900000	0.027000	17.543000
99.900000	0.027000	18.113000
99.900000	0.010000	18.685000
99.900000	0.010000	19.257000
99.900000	0.010000	19.829000
99.900000	0.010000	20.401000
99.900000	0.007000	20.972000
99.900000	0.007000	21.541000
99.900000	0.006000	22.112000
99.900000	0.006000	22.685000
99.900000	0.006000	23.266000
99.900000	0.004000	23.834000
99.900000	0.004000	24.409000
99.900000	0.004000	24.979000
99.900000	0.004000	25.558000
99.900000	0.004000	26.127000
99.900000	0.004000	26.706000
99.900000	0.004000	27.277000
99.900000	0.004000	27.853000
99.900000	0.004000	28.423000
99.900000	0.000000	30.351000
99.900000	0.000000	31.119000
99.900000	0.000000	31.690000
99.900000	0.000000	32.264000
99.900000	0.001400	32.837000
99.900000	0.001400	33.409000
99.900000	0.001550	33.980000
99.900000	0.001550	34.550000
99.900000	0.001550	35.133000
99.900000	0.001550	35.704000
99.900000	0.001100	36.274000
99.900000	0.001100	36.847000
99.900000	0.001100	37.416000
99.900000	0.001250	37.991000
99.900000	0.001250	38.568000
99.900000	0.001550	39.142000
99.900000	0.001550	39.717000
99.900000	0.001550	40.288000
99.900000	0.001450	40.860000
99.900000	0.001450	41.439000
99.900000	0.001200	42.012000
99.900000	0.001200	42.590000
99.900000	0.001200	43.162000
99.900000	0.001350	43.741000
99.900000	0.001350	44.315000
99.900000	0.000900	44.886000
